Device,C1_2,,Device,C1(SV1)_2,,Device,C1(SV2)_2,,Device,C3_4,,Device,C3(SV2)_4,,Device,C3(SV1)_4,,Device,C5_6,,Device,C5(SV1)_6,,Device,C5(SV2)_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.88633042,0.04907874,0.04349998,0.8864071,0.019489528,0.017275656,0.88639678,0.012763256,0.011313309,0.88617668,0.048979784,0.043404742,0.88633002,0.012565264,0.011136971,0.88631328,0.01922392,0.017038416,0.88616904,0.049675372,0.044020777,0.88626516,0.019213898,0.017028608,0.8862999,0.012788182,0.011334164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92653892,0.049071068,0.045466254,0.92661698,0.019495262,0.018064641,0.92660482,0.012757776,0.011821417,0.92638358,0.048976336,0.045370873,0.92653588,0.012564782,0.011641721,0.92652092,0.019246638,0.017832413,0.92637872,0.049663692,0.046007387,0.92647548,0.019213516,0.017800851,0.9265088,0.012784972,0.011845389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96682334,0.049086274,0.047457755,0.96690022,0.01950276,0.018857223,0.9668892,0.012753876,0.012331585,0.9666672,0.048958658,0.047326729,0.96681824,0.012565738,0.012148785,0.96680414,0.019250466,0.01861143,0.96666302,0.049655506,0.048000141,0.9667583,0.019205044,0.018566636,0.9667921,0.012781854,0.012357395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00704934,0.049051656,0.049397438,1.00712082,0.019509582,0.019648506,1.00711096,0.012744544,0.01283517,1.0068936,0.04891604,0.049253248,1.00703894,0.012556818,0.012645205,1.00702932,0.019226514,0.019361663,1.0068855,0.049630192,0.049971921,1.00698354,0.019184634,0.019318611,1.0070143,0.012775468,0.012865079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04733024,0.049029054,0.051349611,1.04740286,0.019495748,0.020419902,1.04739274,0.012744444,0.013348438,1.04717948,0.048883942,0.051190261,1.04731944,0.012554854,0.013148943,1.0473136,0.019225244,0.02013486,1.04716518,0.04962364,0.051964148,1.04726934,0.019169688,0.020075826,1.04729608,0.012769232,0.013373167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0876272,0.049024824,0.053320732,1.0876998,0.019487382,0.021196422,1.0876896,0.012734486,0.013851168,1.0874768,0.048903704,0.053181644,1.0876172,0.01254864,0.013648117,1.0876086,0.019221026,0.020904953,1.0874618,0.049637674,0.053979074,1.087566,0.01916123,0.020839102,1.087591,0.012766248,0.013884456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1279256,0.049009206,0.055278738,1.1279968,0.019482214,0.021975875,1.1279862,0.012724132,0.014352645,1.1277756,0.048930886,0.055183059,1.1279136,0.012534442,0.014137768,1.127904,0.01919908,0.021654719,1.1277594,0.049648514,0.055991578,1.1278618,0.019168278,0.021619169,1.1278878,0.012763348,0.014395624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1682206,0.048978306,0.057217466,1.1682896,0.019472868,0.022749949,1.1682796,0.012711452,0.01485053,1.1680714,0.048943814,0.057169869,1.1682084,0.012529888,0.01463752,1.1681982,0.019184482,0.022411277,1.1680492,0.049622314,0.057961304,1.1681568,0.019176984,0.022401724,1.1681808,0.012760818,0.014906943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2084858,0.048955038,0.059161468,1.2085622,0.019482452,0.023545755,1.208551,0.012709356,0.015359905,1.2083386,0.04893963,0.059135644,1.208482,0.012540026,0.015154396,1.2084704,0.019175254,0.023172727,1.2083192,0.049581682,0.059910498,1.2084266,0.019152412,0.023144284,1.2084488,0.012751668,0.015409738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2487866,0.048960828,0.061141626,1.2488646,0.019493512,0.024344757,1.2488512,0.012697302,0.015857041,1.2486374,0.048938512,0.061106456,1.2487854,0.01252333,0.015638952,1.24877,0.019169208,0.023937932,1.2486284,0.049479494,0.061781501,1.2487266,0.019153486,0.023917467,1.248751,0.012754538,0.015927242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2890054,0.048997458,0.063157988,1.289084,0.019472856,0.025102147,1.2890696,0.012673368,0.016336853,1.2888562,0.048938406,0.063074568,1.2890048,0.012512716,0.016128951,1.288986,0.019168428,0.024707835,1.2888486,0.049466926,0.063755378,1.2889434,0.019149922,0.024683166,1.2889686,0.012754244,0.01643982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3293042,0.049007582,0.065145985,1.3293768,0.019446162,0.025851277,1.3293642,0.012674348,0.016848824,1.3291558,0.04891468,0.065015231,1.3293014,0.012505202,0.016623183,1.3292838,0.019160912,0.02547029,1.329139,0.049436978,0.065708616,1.3292426,0.019123782,0.025420146,1.329261,0.012740136,0.016934966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3695218,0.049017428,0.067130436,1.369592,0.019452674,0.026642227,1.3695838,0.012670578,0.017353418,1.3693714,0.048929676,0.067002899,1.3695228,0.01249418,0.017111064,1.3695006,0.019147128,0.026222003,1.369357,0.049420292,0.067674023,1.3694622,0.019093818,0.026148262,1.369479,0.012739344,0.017446264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4098374,0.049068736,0.069178939,1.4099122,0.019428712,0.027392778,1.409899,0.01267071,0.017864421,1.4096888,0.048977892,0.069043586,1.409838,0.01247522,0.017588039,1.409815,0.019144368,0.026990017,1.4096778,0.049429574,0.069679773,1.4097806,0.019095978,0.026921139,1.409798,0.012746032,0.01796933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4500682,0.04907636,0.071164069,1.4501426,0.019408658,0.028145322,1.4501258,0.012665038,0.018365898,1.449919,0.048952612,0.070977322,1.450066,0.012474988,0.018089556,1.450043,0.01914604,0.027762581,1.4499008,0.049437502,0.071679474,1.4500062,0.019121312,0.027726021,1.4500278,0.012754442,0.018494295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4903624,0.049038184,0.073084666,1.4904312,0.019390426,0.028900096,1.490416,0.012658872,0.018866985,1.4902136,0.048890574,0.072857398,1.4903554,0.012478474,0.018597361,1.4903324,0.01914319,0.028529716,1.4901894,0.049422122,0.073648322,1.4902984,0.019148314,0.028536702,1.4903188,0.012743542,0.01899194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5305896,0.049026358,0.075039234,1.530664,0.019381264,0.029666203,1.5306462,0.012638744,0.019345445,1.5304386,0.048856934,0.074772538,1.5305844,0.012472428,0.019090104,1.5305584,0.019152902,0.029314635,1.5304158,0.049417914,0.075629956,1.5305256,0.019150636,0.029310539,1.5305482,0.012741344,0.019501241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5708842,0.04901431,0.076995805,1.5709674,0.019379002,0.03044378,1.5709416,0.012622574,0.019829327,1.570736,0.048810604,0.076668573,1.5708794,0.01245664,0.019567879,1.570855,0.01915718,0.030093152,1.5707118,0.049390528,0.077578285,1.5708218,0.01915651,0.030091464,1.5708444,0.012726588,0.019991489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6111748,0.04898963,0.078930857,1.6112562,0.019391948,0.031245396,1.6112302,0.012616134,0.020327496,1.611025,0.048837742,0.078678823,1.6111692,0.012435132,0.020035102,1.6111474,0.019165198,0.030877959,1.6109974,0.049333898,0.079476781,1.611111,0.019155634,0.030861853,1.611133,0.012716752,0.020488379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6514612,0.048986634,0.080899525,1.6515436,0.019381738,0.032009785,1.651521,0.01260916,0.020824293,1.6513124,0.048877724,0.080712392,1.6514588,0.01241832,0.020508344,1.6514356,0.01916413,0.031648327,1.651287,0.049323122,0.08144663,1.6514038,0.019133628,0.031597346,1.6514166,0.012718352,0.021003298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6917624,0.049000236,0.082896757,1.691846,0.019386048,0.032798208,1.6918232,0.012599704,0.021316472,1.691609,0.04890145,0.082722133,1.6917614,0.012405586,0.020987292,1.691739,0.019158938,0.032411923,1.6915876,0.049278796,0.0833594,1.6917062,0.019101884,0.032314776,1.6917166,0.01272634,0.021529361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7320464,0.048949252,0.084782376,1.7321292,0.019373778,0.033557887,1.7321044,0.012595642,0.021816967,1.7318898,0.048938724,0.084756477,1.7320428,0.012405282,0.021486479,1.7320218,0.019149076,0.033166617,1.7318696,0.04919694,0.085202685,1.731989,0.019116106,0.033108885,1.7319956,0.012733886,0.022055035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7723498,0.048948904,0.08675458,1.7724312,0.019359466,0.034313322,1.7724066,0.012595274,0.022323947,1.772189,0.048920848,0.086696989,1.7723424,0.012405426,0.021986662,1.7723234,0.019145614,0.03393222,1.77217,0.049167042,0.087132357,1.7722924,0.019099604,0.033850083,1.772297,0.012734116,0.022568636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8125674,0.04899197,0.088801248,1.8126462,0.019352078,0.035078471,1.8126264,0.012576612,0.022796699,1.8124032,0.048882184,0.088594227,1.8125584,0.01240483,0.022484479,1.812538,0.019130638,0.034675008,1.8123856,0.049134378,0.089050439,1.8125074,0.019105222,0.034628356,1.812513,0.01272826,0.023070137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.852865,0.049030806,0.090847464,1.852942,0.019350506,0.035855365,1.8529234,0.012568868,0.02328915,1.8526986,0.048844132,0.090493455,1.8528528,0.012395366,0.022966789,1.8528356,0.01912106,0.035428181,1.852681,0.049130712,0.091023537,1.8528006,0.019105172,0.035398074,1.852811,0.012707522,0.023544637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8930722,0.048999882,0.092760314,1.893148,0.019342324,0.036617882,1.8931314,0.012574268,0.023804742,1.892905,0.048804548,0.092382373,1.8930574,0.012381996,0.023439829,1.8930414,0.019120902,0.036196659,1.892891,0.049128692,0.092995259,1.8930048,0.019111684,0.03617851,1.8930182,0.012689372,0.024021212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9333626,0.049004582,0.094743626,1.93344,0.019352276,0.037416465,1.9334238,0.012572782,0.024308516,1.9331974,0.048805578,0.094350816,1.9333508,0.012374068,0.023923414,1.9333356,0.01913029,0.036985271,1.9331834,0.049150924,0.09501775,1.9332942,0.019090098,0.036906776,1.933314,0.012684774,0.024523651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9735822,0.048983642,0.096673244,1.9736578,0.01937169,0.038233087,1.9736484,0.012551498,0.024772244,1.9734196,0.04887714,0.096455106,1.9735726,0.012371314,0.024415686,1.9735578,0.019125468,0.037745217,1.9734056,0.04916577,0.097024006,1.973514,0.019081122,0.037656861,1.973534,0.012693496,0.025051046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0138848,0.048933514,0.09854646,2.0139566,0.019368216,0.039006746,2.0139492,0.012543392,0.025261754,2.0137242,0.04887885,0.098428523,2.01387,0.012381742,0.024935219,2.0138558,0.019136466,0.038538083,2.0137088,0.049107812,0.098888833,2.0138144,0.019078552,0.038420663,2.0138336,0.012696472,0.025568582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0541082,0.048902222,0.100450455,2.0541776,0.019339744,0.039727269,2.0541694,0.01253747,0.025754087,2.0539438,0.048841454,0.100317602,2.0540882,0.01239275,0.025455802,2.054075,0.019137452,0.039309762,2.053926,0.049022812,0.100689228,2.0540346,0.019083148,0.039197446,2.0540508,0.012688872,0.026063588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0944132,0.048927706,0.102474833,2.0944852,0.01931658,0.040458291,2.0944706,0.012516,0.026214394,2.0942454,0.048865252,0.102335829,2.094395,0.012390876,0.025951389,2.094381,0.019130676,0.040066924,2.0942246,0.048947692,0.102507461,2.0943388,0.01908901,0.039978854,2.0943534,0.012680134,0.026556682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1347238,0.048909826,0.10440897,2.1347948,0.019303562,0.041209144,2.134784,0.012508448,0.026702835,2.1345556,0.048832258,0.10423517,2.134705,0.012374666,0.026416261,2.1346916,0.019114158,0.040802833,2.1345342,0.048886536,0.104349983,2.1346516,0.019075268,0.040719051,2.134661,0.012671682,0.027049745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1750214,0.048916522,0.106394482,2.1750906,0.019286936,0.041950833,2.1750782,0.012514766,0.027220595,2.1748524,0.048762934,0.106052184,2.1750008,0.012368738,0.026902015,2.1749862,0.01911133,0.041566879,2.1748274,0.048847506,0.106234894,2.1749458,0.019075948,0.041489153,2.1749582,0.012659998,0.027534966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2153218,0.048931632,0.108399311,2.2153906,0.019283634,0.042720781,2.2153736,0.012501742,0.027696029,2.2151488,0.048768054,0.108028496,2.2153,0.01236139,0.027384187,2.2152836,0.01910701,0.042327446,2.215119,0.048878776,0.108272305,2.2152412,0.019077226,0.042260657,2.2152532,0.012648296,0.028019178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
