Device,C1,,Device,C2,,Device,C3,,Device,C4,,Device,C5,,Device,C6,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W]
1.0716802,0.049992664,0.053576148,1.0716304,0.049789608,0.053356058,1.0716066,0.049359376,0.052893833,1.0715904,0.05057017,0.054190509,1.0715886,0.050023568,0.053604685,1.0715678,0.050689888,0.054317652
1.0904862,0.049986026,0.054509072,1.0904346,0.04979506,0.054298256,1.090413,0.049345082,0.053806519,1.0903934,0.050659962,0.055239288,1.0903976,0.050001734,0.054521771,1.0903736,0.050710908,0.055293835
1.1093102,0.049971852,0.055434285,1.1092574,0.049819966,0.055263166,1.1092342,0.049313986,0.05470076,1.1092174,0.050579088,0.056103204,1.1092186,0.049972814,0.055430775,1.1091838,0.05075394,0.056295448
1.1281372,0.049930946,0.056328958,1.1280792,0.049845596,0.05622978,1.1280628,0.049316322,0.055631908,1.1280448,0.050585042,0.057062194,1.1280438,0.05001377,0.056417723,1.1280086,0.050725498,0.057218798
1.1469658,0.049905982,0.057240455,1.1469064,0.049848496,0.057171559,1.1468902,0.049265734,0.056502388,1.146878,0.050542754,0.057966373,1.1468762,0.050008236,0.057353256,1.1468398,0.050740402,0.058191112
1.1657944,0.049943986,0.058224419,1.1657384,0.049844692,0.058105872,1.1657196,0.04926213,0.05742583,1.1657078,0.050546792,0.05892279,1.1657032,0.050019622,0.058308033,1.1656638,0.050803542,0.05921985
1.1845544,0.049915036,0.059127076,1.1844972,0.049831638,0.059025436,1.1844746,0.049259004,0.058346039,1.1844616,0.050555298,0.059880809,1.1844608,0.049988008,0.059208836,1.1844214,0.050789934,0.060156685
1.2032988,0.049948012,0.060102383,1.203243,0.049781244,0.059898933,1.2032266,0.049249312,0.059258082,1.203215,0.050561182,0.060835973,1.203217,0.04998315,0.060140576,1.203179,0.050692872,0.060992599
1.2221102,0.04997158,0.061070778,1.2220624,0.049734726,0.060778939,1.2220388,0.049267832,0.060207202,1.2220294,0.050578938,0.061808949,1.2220268,0.049948846,0.061038828,1.2219942,0.050687338,0.061939633
1.2409268,0.0499516,0.061986279,1.2408768,0.049696008,0.061666623,1.2408498,0.049306946,0.061182514,1.2408382,0.050579342,0.06276078,1.24084,0.049942048,0.061970091,1.2408054,0.050738752,0.062956917
1.2596658,0.049824126,0.062761748,1.2596116,0.049663148,0.062556277,1.259586,0.049309588,0.062109667,1.2595724,0.050569754,0.063696266,1.259582,0.049952852,0.062919713,1.2595426,0.050722292,0.063886888
1.2784906,0.049780704,0.063644162,1.2784398,0.049692672,0.06352909,1.2784172,0.049310076,0.063038849,1.2784086,0.050469394,0.064520507,1.2784088,0.049926284,0.063826201,1.2783746,0.050692522,0.064804033
1.2972466,0.049762616,0.064554384,1.2971944,0.04967803,0.064442062,1.2971756,0.049269436,0.06391111,1.297156,0.05049097,0.065494665,1.2971576,0.049911034,0.064742477,1.297125,0.050652556,0.065702697
1.3160592,0.049785926,0.065521226,1.316005,0.04963919,0.065325422,1.3159808,0.049242926,0.064802745,1.315961,0.050393702,0.066316146,1.3159698,0.049915812,0.065687701,1.3159318,0.050677104,0.066687613
1.3348742,0.049796664,0.066472282,1.3348282,0.049635714,0.066255151,1.3348018,0.049263832,0.065757452,1.334785,0.050345474,0.067200384,1.3347908,0.049863362,0.066557157,1.3347554,0.05062375,0.067570324
1.3537088,0.049748718,0.067345277,1.3536598,0.049628256,0.067179775,1.3536396,0.049255394,0.066674052,1.3536258,0.050313608,0.068105798,1.3536244,0.04988395,0.067524132,1.3535954,0.050625034,0.068525813
1.3725366,0.049676948,0.068183429,1.3724792,0.049545016,0.067999504,1.3724628,0.049258264,0.067605135,1.3724484,0.05033568,0.069083123,1.3724484,0.049923294,0.068517145,1.3724172,0.0505493,0.069374729
1.3912954,0.049647226,0.069073957,1.3912388,0.049530876,0.068909276,1.391217,0.049271248,0.068546998,1.3912084,0.050308802,0.069990028,1.3912118,0.04992062,0.069450156,1.3911736,0.050545638,0.070317757
1.4100526,0.049602126,0.069941607,1.4099984,0.049520036,0.069823172,1.409983,0.04924313,0.069431976,1.4099724,0.050323024,0.070954075,1.409969,0.04990228,0.070360668,1.4099336,0.050498762,0.071199901
1.4288158,0.049514808,0.07074754,1.428758,0.049461796,0.070668937,1.4287482,0.04917961,0.070265279,1.4287328,0.050338506,0.071920275,1.428727,0.049921696,0.071324475,1.428698,0.050527742,0.072188884
1.4476444,0.049563982,0.071751021,1.447587,0.049437326,0.07156483,1.4475782,0.049112958,0.071094847,1.4475584,0.050333382,0.07286051,1.4475544,0.049896822,0.072228364,1.4475284,0.050470336,0.073057245
1.4664694,0.049560584,0.07267908,1.466419,0.049369856,0.072396895,1.4664064,0.0490748,0.071963601,1.4663842,0.0503404,0.073818367,1.466383,0.049879948,0.073143108,1.4663614,0.050439262,0.073962187
1.4853034,0.049516876,0.073547584,1.4852498,0.049315636,0.073246039,1.4852398,0.049075158,0.072888378,1.4852154,0.05026756,0.074658154,1.4852168,0.049828596,0.074006268,1.4851946,0.050399612,0.074853232
1.5041324,0.049459922,0.074394271,1.5040764,0.049308266,0.074163399,1.5040704,0.049082416,0.073823409,1.5040452,0.05021177,0.075520772,1.5040466,0.04980637,0.074911101,1.5040236,0.050352366,0.075731147
1.5228246,0.049377106,0.075192672,1.5227692,0.049291578,0.075059697,1.5227636,0.049036018,0.074670263,1.522742,0.050145718,0.076358991,1.5227418,0.049776444,0.075796672,1.5227122,0.050324918,0.076630367
1.5415826,0.049273786,0.075959611,1.5415256,0.049269134,0.075949631,1.5415176,0.049008454,0.075547394,1.5414946,0.05008926,0.077212324,1.5414972,0.049755548,0.076698038,1.5414634,0.050356508,0.077622714
1.5603408,0.049272896,0.07688251,1.5602806,0.049292238,0.076909723,1.5602752,0.048983894,0.076428355,1.5602492,0.05002822,0.07805649,1.5602494,0.049689494,0.077528003,1.5602184,0.050392222,0.078622872
1.5791388,0.049216774,0.077720117,1.5790852,0.049267002,0.077796794,1.5790806,0.04894153,0.077282621,1.5790552,0.049997702,0.078949131,1.5790452,0.04966838,0.078428617,1.5790218,0.050319216,0.079455139
1.5979506,0.04915331,0.078544561,1.597902,0.049180238,0.078585201,1.5978908,0.048863336,0.078078275,1.5978682,0.049997778,0.07988986,1.5978592,0.04966085,0.079351046,1.597835,0.050299696,0.080370615
1.616765,0.049148372,0.079461368,1.6167118,0.04912206,0.079416214,1.6166992,0.048865464,0.079000757,1.616672,0.049922998,0.080709113,1.616669,0.049612966,0.080207744,1.6166476,0.050206986,0.081167003
1.6355798,0.04912341,0.080345257,1.6355304,0.049082672,0.080276202,1.6355158,0.048873716,0.079933735,1.6354908,0.049925798,0.081653183,1.6354864,0.049529474,0.081004781,1.6354678,0.050131074,0.081987757
1.6543916,0.049102122,0.081234138,1.6543498,0.049009424,0.081078731,1.6543342,0.04881753,0.080760509,1.6543118,0.049903198,0.082555449,1.6543052,0.049499606,0.081887456,1.6542858,0.050032002,0.08276723
1.6731492,0.04901292,0.082005928,1.6731062,0.048930564,0.08186603,1.6730864,0.048754816,0.08157102,1.6730608,0.049844038,0.083392106,1.673061,0.049488144,0.082796684,1.6730412,0.050009688,0.083668268
1.6919128,0.04891147,0.082753942,1.6918668,0.048850552,0.082648627,1.6918444,0.048735358,0.082452643,1.6918176,0.049747196,0.084163182,1.691818,0.049410418,0.083593435,1.6918072,0.049975116,0.084548261
1.710738,0.04884775,0.083565702,1.7106996,0.048792488,0.08346929,1.710674,0.048629882,0.083189875,1.7106512,0.049723962,0.085060355,1.7106454,0.049363518,0.084443475,1.7106396,0.04996796,0.085477171
1.7295614,0.048827532,0.084450215,1.7295202,0.04873655,0.084290848,1.7295022,0.048490908,0.083865132,1.7294756,0.049603456,0.085787967,1.7294688,0.049315954,0.085290404,1.7294606,0.049855644,0.086223372
1.7482506,0.048701162,0.085141836,1.7482016,0.048681736,0.085105489,1.7481828,0.048442956,0.084687142,1.7481572,0.049515596,0.086561046,1.7481584,0.049228538,0.086059282,1.7481408,0.049779068,0.08702082
1.7670692,0.048625074,0.085923871,1.7670256,0.048614498,0.085903062,1.767007,0.048378726,0.085485547,1.7669896,0.049476646,0.087424719,1.7669846,0.049117848,0.086790481,1.766964,0.04969854,0.087815531
1.7858796,0.048547564,0.086700104,1.7858398,0.048521102,0.086650915,1.7858238,0.04829594,0.086248039,1.7858052,0.049458184,0.088322682,1.7858056,0.048982002,0.087472333,1.7857782,0.049586234,0.088550016
1.8047078,0.04844691,0.087432516,1.80466,0.048438488,0.087415002,1.8046482,0.048222392,0.087024453,1.8046262,0.049361238,0.089078583,1.8046326,0.048870586,0.088193453,1.8045976,0.04950046,0.089328411
1.82347,0.048261028,0.088002537,1.8234214,0.048337798,0.088140175,1.8234062,0.04816698,0.08782797,1.823386,0.049270564,0.089839257,1.8233906,0.048777116,0.088939735,1.8233556,0.049374602,0.090027457
1.8422792,0.048114016,0.088639451,1.8422396,0.048229672,0.088850612,1.8422252,0.048039486,0.088499552,1.8421998,0.049123742,0.090495748,1.8422028,0.048709246,0.089732309,1.8421722,0.049252942,0.090732401
1.8611052,0.047992598,0.089319274,1.8610622,0.048127268,0.089567839,1.8610468,0.047913744,0.08916972,1.861015,0.048977246,0.091147389,1.8610234,0.048604762,0.090454599,1.860999,0.049143504,0.091456012
1.8799306,0.047864844,0.089982585,1.8798794,0.048009654,0.09025236,1.8798658,0.0477711,0.089803257,1.879834,0.04880505,0.091745392,1.8798432,0.04849189,0.09115715,1.8798176,0.048992784,0.092097498
1.8986768,0.047691182,0.090550141,1.8986302,0.047875508,0.090897885,1.898619,0.047637794,0.090446021,1.8985904,0.048681322,0.092425891,1.8985956,0.048373118,0.091840989,1.8985702,0.04881546,0.092679578
1.9174882,0.047497406,0.091075716,1.9174478,0.0476873,0.091437908,1.9174278,0.047482866,0.091044967,1.917403,0.048548994,0.093087987,1.9174108,0.048191316,0.09240255,1.9173876,0.048717014,0.093409399
1.936311,0.047319524,0.091625315,1.936263,0.047522834,0.092016705,1.9362372,0.047322586,0.091627751,1.9362166,0.048403462,0.093719587,1.9362222,0.04798942,0.09291818,1.9361994,0.048638158,0.094173172
