Device,C1,,Device,C1(SV1),,Device,C1(SV2),,Device,C2,,Device,C3,,Device,C3(SV1),,Device,C3(SV2),,Device,C4,,Device,C5,,Device,C5(SV2),,Device,C5(SV1),,Device,C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],V [V] ,I [A],P [W],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40311814,0.049053182,0.019774227,0.40323144,0.018950498,0.007641437,0.40323524,0.012432362,0.005013166,0.40306208,0.04925836,0.019854177,0.40296056,0.0489791,0.019736646,0.40304756,0.019198336,0.007737842,0.40307578,0.012401738,0.00499884,0.40297852,0.050006172,0.020151413,0.40291938,0.049029042,0.019754751,0.40306052,0.012467022,0.005024964,0.4030193,0.01929739,0.007777221,0.4029064,0.049871996,0.020093746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42323686,0.049067996,0.020767385,0.4233509,0.018942752,0.008019431,0.42335432,0.012429902,0.005262253,0.42318002,0.04929196,0.020859373,0.4230789,0.04900015,0.02073093,0.42316934,0.019190704,0.008120918,0.4231964,0.012398488,0.005246995,0.42309456,0.04996508,0.021139954,0.42303274,0.049020094,0.020737105,0.42317848,0.012455812,0.005271032,0.42313916,0.01929212,0.008163251,0.42302054,0.049801332,0.021066986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.44333688,0.049092102,0.021764339,0.4434532,0.018949724,0.008403316,0.4434551,0.012436416,0.005514992,0.4432785,0.04931877,0.02186195,0.44318046,0.049001988,0.021716724,0.44327126,0.01918902,0.008505941,0.4432972,0.012404544,0.0054989,0.44320068,0.04996196,0.022143175,0.44313162,0.048995764,0.021711572,0.44327584,0.012440142,0.005514414,0.44324072,0.019303706,0.008556189,0.44311904,0.049756788,0.02204818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4635174,0.049095066,0.022756417,0.46363218,0.018952572,0.008787022,0.46363714,0.012437378,0.00576643,0.46346092,0.049305194,0.022851031,0.46335714,0.049010404,0.022709321,0.46344834,0.019178448,0.00888822,0.46347618,0.012392394,0.005743579,0.46337852,0.049959972,0.023150378,0.4633087,0.04891933,0.022664751,0.46345598,0.012429062,0.005760323,0.46342352,0.0193052,0.008946484,0.46330414,0.049778502,0.023062586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48362276,0.049107834,0.023749666,0.48374594,0.01894728,0.00916567,0.4837448,0.01242748,0.006011729,0.48356818,0.049279466,0.023829982,0.48346862,0.049008088,0.023693873,0.48356018,0.019172384,0.009271001,0.48358994,0.01239822,0.005995654,0.48348616,0.049907964,0.02412981,0.48341674,0.04886047,0.023619969,0.48356514,0.012416118,0.006004002,0.48353614,0.019318504,0.009341195,0.48341676,0.049793012,0.024070777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.50373078,0.049123602,0.02474507,0.50386238,0.018946888,0.009546624,0.5038559,0.012418052,0.006256909,0.50367926,0.049236408,0.024799358,0.503582,0.04898976,0.024670361,0.50367204,0.019206732,0.009673894,0.50370332,0.012404714,0.006248296,0.50359992,0.049862012,0.025110505,0.5035286,0.048841486,0.024593085,0.50367738,0.012404368,0.0062478,0.50365104,0.019337832,0.009739519,0.5035286,0.049824266,0.025087943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5239071,0.049086046,0.025716528,0.52404062,0.018926936,0.009918483,0.5240345,0.012425528,0.006511405,0.5238575,0.049196866,0.025772147,0.52376252,0.048975744,0.025651659,0.5238453,0.019199884,0.010057769,0.5238804,0.012409176,0.006500924,0.52377928,0.04983983,0.02610507,0.5237114,0.048843978,0.025580148,0.52385522,0.01240136,0.006496517,0.52383422,0.019345692,0.010133935,0.52370912,0.049876118,0.026120578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54407998,0.049025304,0.026673686,0.54420854,0.018912148,0.010292152,0.54420166,0.012423964,0.006761142,0.54402962,0.04918938,0.02676048,0.54392586,0.048974004,0.026638227,0.54401132,0.019190354,0.01043977,0.54404908,0.01239791,0.006745072,0.54394264,0.049842118,0.027111253,0.5438778,0.048902404,0.026596932,0.54402542,0.012399524,0.006745656,0.54400062,0.019345466,0.010523945,0.54387742,0.049909768,0.027144796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56418686,0.048988982,0.02763894,0.56431544,0.018889176,0.010659454,0.56430206,0.012417694,0.00700733,0.56413346,0.049223286,0.027768503,0.56403352,0.048962544,0.027616516,0.56411668,0.019183836,0.010821922,0.5641533,0.012397316,0.006993987,0.56404496,0.049890776,0.028140641,0.56398086,0.048933128,0.027597348,0.56412848,0.012401448,0.00699601,0.56410294,0.019333506,0.010906088,0.56398088,0.049864514,0.028122632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58430902,0.048978834,0.028618774,0.58443606,0.01888253,0.011035631,0.58442726,0.01241866,0.007257803,0.5842518,0.049235838,0.028766127,0.58415832,0.048954396,0.028597118,0.58423958,0.019178158,0.011204639,0.5842701,0.01239777,0.007243646,0.58417206,0.04990277,0.029151804,0.58410224,0.048925202,0.02857732,0.58425064,0.0124011,0.007245351,0.58422126,0.019314506,0.011283945,0.58409806,0.04981636,0.029097639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60449334,0.048999006,0.029619573,0.60461732,0.018887164,0.011419506,0.60461616,0.012420718,0.007509767,0.60443536,0.049253284,0.029770426,0.60434418,0.048889078,0.02954583,0.6044262,0.01916832,0.011585835,0.60445634,0.012400156,0.007495353,0.60435944,0.04989229,0.030152876,0.60428922,0.048888104,0.029542554,0.6044361,0.0124002,0.007495129,0.60440674,0.01930011,0.011665117,0.6042824,0.0497642,0.03007163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62461014,0.049032968,0.030626489,0.62473106,0.018903322,0.011809492,0.62473146,0.012410996,0.00775354,0.62454986,0.049202338,0.030729313,0.6244545,0.048862962,0.030512697,0.62454414,0.01917364,0.011974785,0.6245697,0.012393322,0.007740493,0.62446976,0.049893496,0.031156979,0.62440146,0.048861216,0.030509015,0.6245487,0.012390822,0.007738672,0.62451402,0.019315064,0.012062528,0.62439652,0.04972422,0.03104763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64474182,0.049016036,0.031602688,0.6448639,0.018914426,0.012197231,0.64486314,0.012392578,0.007991517,0.6446827,0.049116782,0.03166474,0.6445881,0.04884925,0.031487645,0.64467658,0.019167616,0.012356913,0.64469948,0.012393704,0.007990215,0.6446022,0.04985875,0.03213906,0.6445339,0.048837316,0.031477306,0.64467658,0.012386638,0.007985375,0.6446438,0.019316086,0.012451995,0.6445282,0.049705332,0.032036488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66487046,0.049014066,0.032588005,0.66499482,0.01891262,0.012576794,0.66499788,0.012377986,0.008231334,0.66481666,0.049075348,0.032626109,0.66472208,0.048892136,0.032499682,0.66480826,0.019164712,0.012740859,0.66483154,0.01240106,0.008244616,0.66473464,0.04984933,0.033136576,0.66467016,0.048871162,0.032483203,0.66480712,0.012380308,0.008230517,0.66477816,0.019305116,0.012833619,0.66466254,0.049741436,0.033061269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6850586,0.048980444,0.033554474,0.68518448,0.018909684,0.012956622,0.6851845,0.012387614,0.008487801,0.68500404,0.049074662,0.033616342,0.68490794,0.048901528,0.033493045,0.6849945,0.019163628,0.01312698,0.68502236,0.012407554,0.008499452,0.68492164,0.04984788,0.034141892,0.6848583,0.048859214,0.033461638,0.68499412,0.012374658,0.008476568,0.68496744,0.019295946,0.013217095,0.68484764,0.049745192,0.034067877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
